City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,buala,-8.145,159.5921,26.810000000000002,81,88,1.89,SB,1697659962
1,pacific grove,36.6177,-121.9166,32.99000000000001,42,0,2.57,US,1697659483
2,port-aux-francais,-49.35,70.2167,3.5300000000000296,96,100,8.63,TF,1697659449
3,invercargill,-46.4,168.35,11.120000000000005,85,100,2.24,NZ,1697659448
4,georgetown,5.4112,100.3354,26.680000000000007,95,40,1.54,MY,1697659243
5,novofedorivka,46.1713,32.3178,11.080000000000041,60,2,2.79,UA,1697659965
6,constantia,44.1833,28.65,9.379999999999995,75,5,3.09,RO,1697659235
7,kota tinggi,1.7381,103.8999,26.02000000000004,91,100,0.54,MY,1697659463
8,puerto ayora,-0.7393,-90.3518,29.980000000000018,91,89,2.68,EC,1697659287
9,olonkinbyen,70.9221,-8.7187,3.3799999999999955,88,100,10.68,SJ,1697659254
10,darwin,-12.4611,130.8418,24.99000000000001,88,47,2.06,AU,1697659884
11,midvagur,62.0511,-7.1939,8.460000000000036,93,100,11.83,FO,1697659968
12,martapura,-3.4167,114.85,26.05000000000001,100,100,0.0,ID,1697659969
13,adamstown,-25.066,-130.1015,22.350000000000023,80,100,2.27,PN,1697659253
14,port saint john's,-31.6229,29.5448,19.33000000000004,79,17,3.72,ZA,1697659970
15,kailua-kona,19.6406,-155.9956,28.610000000000014,72,40,4.12,US,1697659482
16,belmonte,-15.8631,-38.8828,25.57000000000005,71,96,4.31,BR,1697659324
17,shamakhi,40.6314,48.6414,10.650000000000034,81,100,2.1,AZ,1697659972
18,christchurch,-43.5333,172.6333,12.400000000000034,86,100,0.89,NZ,1697659821
19,waitangi,-43.9535,-176.5597,12.680000000000007,80,100,4.92,NZ,1697659448
20,mendi,-6.1761,143.6513,12.240000000000009,98,88,0.74,PG,1697659973
21,edinburgh of the seven seas,-37.0676,-12.3116,12.610000000000014,91,100,12.44,SH,1697659448
22,utrik,11.2278,169.8474,28.210000000000036,77,30,7.74,MH,1697659454
23,saipan,15.1355,145.701,27.390000000000043,89,20,4.12,MP,1697659453
24,albany,42.6001,-73.9662,15.490000000000009,67,100,0.92,US,1697659910
25,fort bragg,35.139,-79.006,22.680000000000007,45,40,4.12,US,1697659451
26,ushuaia,-54.8,-68.3,15.810000000000002,42,0,7.2,AR,1697659292
27,port-vila,-17.7338,168.3219,24.78000000000003,88,100,1.03,VU,1697659977
28,zhaotong,27.3167,103.7167,13.560000000000002,86,93,1.71,CN,1697659826
29,margate,51.3813,1.3862,16.610000000000014,95,100,3.13,GB,1697659463
30,blackmans bay,-43.0167,147.3167,8.620000000000005,92,84,1.02,AU,1697659449
31,san mariano,7.5,126.0,22.980000000000018,96,99,0.58,PH,1697659979
32,kashgar,39.4547,75.9797,12.800000000000011,30,89,2.5,CN,1697659979
33,grytviken,-54.2811,-36.5092,3.2100000000000364,92,100,4.15,GS,1697659158
34,badger,64.8,-147.5333,-1.0699999999999932,86,100,1.54,US,1697659462
35,ronne,55.1009,14.7066,7.9500000000000455,76,40,4.63,DK,1697659981
36,mena,51.5217,32.2157,6.7900000000000205,65,100,4.16,UA,1697659981
37,bilibino,68.0546,166.4372,-17.799999999999983,100,98,0.79,RU,1697659451
38,manta,-0.95,-80.7333,27.879999999999995,78,20,5.66,EC,1697659746
39,margaret river,-33.95,115.0667,9.710000000000036,91,31,3.39,AU,1697659453
40,nenjiang,49.1833,125.2167,1.3500000000000227,78,48,3.52,CN,1697659983
41,ivdel',60.6911,60.4206,6.1299999999999955,64,100,5.81,RU,1697659459
42,namibe,-15.1961,12.1522,18.32000000000005,85,2,2.37,AO,1697659466
43,howard springs,-12.497,131.047,24.950000000000045,79,27,1.06,AU,1697659985
44,waterloo,43.4668,-80.5164,13.660000000000025,80,100,3.58,CA,1697659789
45,enewetak,11.3474,162.3373,28.460000000000036,78,14,7.92,MH,1697659258
46,talnakh,69.4865,88.3972,2.340000000000032,96,100,5.55,RU,1697659396
47,iskateley,67.6803,53.1512,1.1200000000000045,89,100,4.02,RU,1697659459
48,eyl,7.9803,49.8164,27.170000000000016,79,93,3.36,SO,1697659988
49,wuda,39.4994,106.7117,9.910000000000025,42,100,5.42,CN,1697659989
50,nizhniy odes,63.6445,54.856,1.0900000000000318,97,100,3.76,RU,1697659989
51,troitskoye,52.9821,84.6757,7.5,91,5,2.17,RU,1697659990
52,port mathurin,-19.6833,63.4167,23.74000000000001,81,41,4.59,MU,1697659451
53,aasiaat,68.7098,-52.8699,-15.169999999999959,94,70,3.25,GL,1697659461
54,naze,28.3667,129.4833,16.510000000000048,60,0,0.59,JP,1697659473
55,bredasdorp,-34.5322,20.0403,16.08000000000004,95,53,4.6,ZA,1697659449
56,avarua,-21.2078,-159.775,22.03000000000003,64,75,4.12,CK,1697659279
57,alesund,62.4723,6.1549,5.420000000000016,70,0,5.14,NO,1697659994
58,kuybyshev,55.4475,78.3218,7.920000000000016,62,24,4.31,RU,1697659994
59,cabo san lucas,22.8909,-109.9124,35.34000000000003,64,40,2.57,MX,1697659995
60,safranbolu,41.2508,32.6942,11.680000000000007,92,99,0.62,TR,1697659995
61,portage la prairie,49.9728,-98.2926,15.050000000000011,67,75,7.2,CA,1697659996
62,la'ie,21.6477,-157.9253,28.980000000000018,68,2,3.13,US,1697659315
63,fukuecho,32.6881,128.8419,20.310000000000002,64,4,3.26,JP,1697659997
64,hermanus,-34.4187,19.2345,16.700000000000045,88,42,7.88,ZA,1697659448
65,dudinka,69.4058,86.1778,2.57000000000005,98,100,2.68,RU,1697659475
66,honfleur,49.4198,0.2329,16.510000000000048,85,75,8.75,FR,1697659998
67,jamestown,42.097,-79.2353,13.170000000000016,59,20,4.12,US,1697659190
68,anadyr,64.75,177.4833,-10.71999999999997,78,0,5.0,RU,1697659470
69,tangalle,6.024,80.7911,24.230000000000018,91,100,4.39,LK,1697660000
70,kangavar,34.5043,47.9653,13.78000000000003,35,2,1.66,IR,1697660000
71,kapuskasing,49.4169,-82.4331,12.050000000000011,58,75,6.69,CA,1697659462
72,vorgashor,67.5833,63.95,0.36000000000001364,83,45,6.08,RU,1697659449
73,klyuchi,52.2667,79.1667,8.350000000000023,44,0,3.83,RU,1697659460
74,basco,20.4487,121.9702,27.27000000000004,68,99,7.4,PH,1697660002
75,papatowai,-46.5619,169.4708,10.490000000000009,71,100,4.3,NZ,1697659453
76,south hedland,-20.4089,118.5983,22.960000000000036,31,0,4.12,AU,1697660003
77,vadso,70.0744,29.7487,0.4900000000000091,86,75,8.75,NO,1697659267
78,yellowknife,62.456,-114.3525,7.4500000000000455,94,100,6.71,CA,1697659451
79,iqaluit,63.7506,-68.5145,-1.1499999999999773,92,100,4.63,CA,1697659259
80,lompoc,34.6391,-120.4579,34.32000000000005,57,0,2.57,US,1697659205
81,bethel,41.3712,-73.414,17.600000000000023,66,100,0.0,US,1697659152
82,lower hutt,-41.2167,174.9167,15.450000000000045,84,40,10.29,NZ,1697659711
83,chibougamau,49.9168,-74.3659,12.79000000000002,50,75,7.2,CA,1697660007
84,verkhniye tatyshly,56.2912,55.8575,4.0,76,100,7.36,RU,1697660008
85,al bawiti,28.3492,28.8659,22.640000000000043,45,0,3.53,EG,1697660008
86,prince rupert,54.3161,-130.3201,13.050000000000011,90,100,16.46,CA,1697660009
87,isafjordur,66.0755,-23.124,6.32000000000005,80,100,4.08,IS,1697659448
88,wailua homesteads,22.0669,-159.378,27.439999999999998,68,40,4.12,US,1697659450
89,puerto natales,-51.7236,-72.4875,16.25,44,100,7.72,CL,1697659392
90,katpur,21.05,71.7833,28.410000000000025,54,0,3.17,IN,1697660011
91,port lincoln,-34.7333,135.8667,14.53000000000003,34,10,3.51,AU,1697659249
92,tura,25.5198,90.2201,19.890000000000043,89,0,1.27,IN,1697659476
93,luau,-10.7073,22.2247,22.25,65,12,1.83,AO,1697660013
94,tchibanga,-2.85,11.0333,22.939999999999998,97,100,1.55,GA,1697659908
95,arraial do cabo,-22.9661,-42.0278,23.980000000000018,83,75,6.17,BR,1697659477
96,greensboro,36.0726,-79.792,20.660000000000025,55,40,2.57,US,1697659919
